 Vendor Name , Department ,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Pret A Manger,Facilities,$92,Pret A Manger provides food and beverage services for office refreshments,Consolidate - Low spend ($92) - absorb into existing contracts or P-card
Axil Coffee Roasters,Facilities,$89,Axil Coffee Roasters provides food and beverage services for office refreshments,Consolidate - Low spend ($89) - absorb into existing contracts or P-card
Pepco Croatia D.O.O.,G&A,$89,Pepco Croatia D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($89) - absorb into existing contracts or P-card
Lemia D.O.O.,G&A,$88,Lemia D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($88) - absorb into existing contracts or P-card
Retriever Llc,G&A,$88,Retriever Llc provides contractors services for business operations,Consolidate - Low spend ($88) - absorb into existing contracts or P-card
Meluba Limited,G&A,$88,Meluba Limited provides contractors services for business operations,Consolidate - Low spend ($88) - absorb into existing contracts or P-card
London Waste Management,Facilities,$86,London Waste Management provides facilities services including cleaning and maintenance,Consolidate - Low spend ($86) - absorb into existing contracts or P-card
Hilton Garden Inn - Zagreb City Hotels D.O.O.,Facilities,$82,Hilton Garden Inn - Zagreb City Hotels D.O.O. provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Lider Media D.O.O.,Marketing,$80,Lider Media D.O.O. provides advertising and media services for brand awareness,Consolidate - Low spend ($80) - absorb into existing contracts or P-card
Uptime Robot Service Provider Ltd,Engineering,$78,Uptime Robot Service Provider Ltd provides application monitoring and observability tools for system health,Consolidate - Low spend ($78) - absorb into existing contracts or P-card
Mithras Consultants,Professional Services,$77,Mithras Consultants provides management consulting and business advisory,Consolidate - Low spend ($77) - absorb into existing contracts or P-card
6Sense Insights Inc,Sales,$76,6Sense Insights Inc offers AI-powered account-based marketing identifying in-market buyers and orchestrating personalized engagement campaigns,"Consolidate - Intent data overlaps Cognism - evaluate ROI, consolidate to winner"
Ico,G&A,$67,Ico provides regulatory services for business operations,Consolidate - Low spend ($67) - absorb into existing contracts or P-card
Sportska Udruga Split,G&A,$66,Sportska Udruga Split provides recreation services for business operations,Consolidate - Low spend ($66) - absorb into existing contracts or P-card
Prezzee,G&A,$64,Prezzee provides corporate gifts services for business operations,Consolidate - Low spend ($64) - absorb into existing contracts or P-card
Inet Telecoms Ltd.,SaaS,$63,Inet Telecoms Ltd. provides telecom services for business operations,Consolidate - Low spend ($63) - absorb into existing contracts or P-card
Wolt Enterprises Oy,Facilities,$62,Wolt Enterprises Oy provides food and beverage services for office refreshments,Consolidate - Multiple food delivery - single provider with corporate account
Platinum Office D.O.O.,Facilities,$62,Platinum Office D.O.O. provides commercial office space and workspace solutions,Consolidate - Low spend ($62) - absorb into existing contracts or P-card
Snappy Snaps,G&A,$59,Snappy Snaps provides contractors services for business operations,Consolidate - Low spend ($59) - absorb into existing contracts or P-card
New Block D.O.O.,G&A,$56,New Block D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($56) - absorb into existing contracts or P-card
Cayman Islands Government,G&A,$56,Cayman Islands Government provides regulatory services for business operations,Consolidate - Low spend ($56) - absorb into existing contracts or P-card
Officeworks,Facilities,$56,Officeworks provides commercial office space and workspace solutions,Consolidate - Low spend ($56) - absorb into existing contracts or P-card
Click Send Pty Ltd,G&A,$55,Click Send Pty Ltd provides uk services services for business operations,Consolidate - Low spend ($55) - absorb into existing contracts or P-card
Kall Kwik Centre 565,G&A,$55,Kall Kwik Centre 565 provides general services services for business operations,Consolidate - Low spend ($55) - absorb into existing contracts or P-card
Shilton Hospitality Llp,Facilities,$55,Shilton Hospitality Llp provides business accommodation and meeting facilities for corporate travel,Consolidate - Low spend ($55) - absorb into existing contracts or P-card
Axosoft Gitkraken,Engineering,$54,"Axosoft Gitkraken provides software development tools for coding, collaboration, and deployment",Consolidate - Low spend ($54) - absorb into existing contracts or P-card
Istra Wine,G&A,$53,Istra Wine provides contractors services for business operations,Consolidate - Low spend ($53) - absorb into existing contracts or P-card
Gophr,G&A,$52,Gophr provides delivery services for business operations,Consolidate - Low spend ($52) - absorb into existing contracts or P-card
Pan-Pek D.O.O.,Facilities,$50,Pan-Pek D.O.O. provides corporate catering with office meals and event food services,Consolidate - Low spend ($50) - absorb into existing contracts or P-card
Uber *Eats,Facilities,$50,Uber *Eats provides food and beverage services for office refreshments,Consolidate - Multiple food delivery - single provider with corporate account
Fedex Express Uk Transportation Ltd,G&A,$47,Fedex Express Uk Transportation Ltd provides courier services for business operations,"Consolidate - Multiple couriers - consolidate to DHL primary, 20% volume discount"
Garden City D.O.O.,Facilities,$45,Garden City D.O.O. provides facilities services including cleaning and maintenance,Consolidate - Low spend ($45) - absorb into existing contracts or P-card
Livingstone,G&A,$41,Livingstone provides general services services for business operations,Consolidate - Low spend ($41) - absorb into existing contracts or P-card
Ekupi D.O.O.,G&A,$40,Ekupi D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($40) - absorb into existing contracts or P-card
Farmacia - Specijalizirana Prodavaonica D.O.O.,G&A,$36,Farmacia - Specijalizirana Prodavaonica D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($36) - absorb into existing contracts or P-card
Cupcake Central (Life Is Sweet Bakery),Facilities,$35,Cupcake Central (Life Is Sweet Bakery) provides food and beverage services for office refreshments,Consolidate - Low spend ($35) - absorb into existing contracts or P-card
Post Office Ltd,Facilities,$32,Post Office Ltd provides commercial office space and workspace solutions,Consolidate - Low spend ($32) - absorb into existing contracts or P-card
Currys Pc World,G&A,$30,Currys Pc World provides hardware services for business operations,Consolidate - Low spend ($30) - absorb into existing contracts or P-card
Brodomerkur D.D.,G&A,$29,Brodomerkur D.D. provides croatian services services for business operations,Consolidate - Low spend ($29) - absorb into existing contracts or P-card
Sport Vision D.O.O.,G&A,$26,Sport Vision D.O.O. provides recreation services for business operations,Consolidate - Low spend ($26) - absorb into existing contracts or P-card
Harissa D.O.O.,G&A,$21,Harissa D.O.O. provides croatian services services for business operations,Consolidate - Low spend ($21) - absorb into existing contracts or P-card
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,G&A,$20,Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos provides recreation services for business operations,Consolidate - Low spend ($20) - absorb into existing contracts or P-card
Specijalisticka Ordinacija Medicine Rada Helena Blazic,G&A,$20,Specijalisticka Ordinacija Medicine Rada Helena Blazic provides medical services for business operations,Consolidate - Low spend ($20) - absorb into existing contracts or P-card
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,G&A,$20,Ustanova Za Medicinu Rada I Sporta Dr. Novacki provides recreation services for business operations,Consolidate - Low spend ($20) - absorb into existing contracts or P-card
M&S Simply Food,Facilities,$19,M&S Simply Food provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
Bakemono Bakers Melbourne,G&A,$18,Bakemono Bakers Melbourne provides general services services for business operations,Consolidate - Low spend ($18) - absorb into existing contracts or P-card
Coles,G&A,$18,Coles provides general services services for business operations,Consolidate - Low spend ($18) - absorb into existing contracts or P-card
